A 799
ABIGAIL 1
ABOUT 2
ABRAHAM 1
ABSCESS 2
ACCOMPANYING 1
ACCORDING 1
ACCOUNTS 2
ACQUIRED 1
ACTINOMYCOSIS 1
ACTIVITIES 1
ACUTE 1
ADMINISTRATION 2
ADMISSION 1
ADVANCE 2
ADVENTURE 12
ADVENTURES 3
ADVERTISEMENT 1
AFFAIRS 2
AFFECTION 1
AFFECTIONS 2
AGAINST 1
AGE 1
AGENCIES 1
AGREE 4
AGREEMENT 2
AGRICULTURE 1
ALEXANDER 2
ALEXIS 1
ALLEGIANCE 1
AMERICA 11
AMERICAN 10
AMERICANIZATION 1
AMSTERDAM 1
AN 8
AND 116
ANDREW 1
ANEURYSM 4
ANEURYSMS 1
ANGIOMA 1
ANTHRAX 1
ANY 10
ANYTHING 4
APPALACHIANS 2
APPENDIX 3
ARCHIVE 1
ARE 2
AREA 1
ARENA 1
AROUSING 1
ARREST 1
ARTERIES 2
ARTERITIS 1
ARTHUR 1
ARTICLE 26
AS 4
ASCII 3
ASPHYXIA 1
ASSOCIATED 1
AT 13
ATTENDED 1
Aaron 3
Abandoning 1
Abashed 1
Abbe 3
Abbots 1
Abdominal 5
Aberdeen 2
Able 2
Abnormal 1
Abolition 3
Abolitionists 2
About 30
Above 15
Abraham 2
Abramovna 1
Abroad 1
Abscess 10
Abscesses 2
Absolute 2
Absolutely 1
Abuse 1
Abuses 1
Accepting 1
Accepts 1
Access 1
Accidental 1
Accompanied 1
According 16
Accordingly 5
Account 8
Accounts 1
Accustomed 3
Achilles 5
Achtung 1
Acquisition 5
Acromion 1
Across 2
Act 56
Acting 3
Actinomyces 1
Actinomycosis 3
Action 2
Active 2
Activities 1
Acts 6
Acupuncture 1
Acute 16
Adair 1
Adam 3
Adams 32
Adamson 2
Adding 1
Additional 3
Adduction 2
Adductor 1
Aden 1
Adenomas 1
Adiposus 1
Adjacent 1
Adjutant 4
Adjutants 1
Adlai 1
Adler 5
Administering 1
Administration 4
Admiral 3
Admission 2
Admit 1
Admitting 1
Adonai 1
Adopted 3
Adraksin 2
Adrenalin 1
Advance 3
Advanced 3
Adventure 6
Adventures 2
Advisers 1
Affair 1
Affairs 2
Affecting 1
Affections 6
Afghan 1
Afghanistan 1
Afraid 1
Africa 7
African 5
Africans 2
After 283
Afterwards 7
Again 49
Against 8
Age 2
Agencies 1
Agents 2
Agitated 2
Agitation 2
Agra 1
Agrafena 6
Agrarian 1
Agriculture 3
Ah 3
Ahead 1
Aid 2
Aided 2
Air 3
Akin 1
Alabama 7
Alamance 1
Alarmed 3
Alaska 6
Albany 9
Albert 6
Albumin 1
Albuminuria 1
Albuquerque 1
Alcohol 4
Alcoholism 1
Alder 1
Aleppo 1
Alesha 1
Alexander 95
Alexandria 1
Alexeevich 23
Alexeevna 1
Alexey 1
Alexis 8
Algiers 1
Algonquins 1
Alice 6
Alicia 1
Alien 8
Aliment 1
Aline 1
All 326
Alleged 1
Allegiance 2
Alliance 6
Allied 8
Allies 1
Allow 3
Almighty 6
Almost 9
Along 11
Aloysius 5
Alpatych 84
Alpha 3
Alphonse 1
Alps 1
Already 8
Alsatian 2
Also 3
Alterations 1
Although 38
Altogether 1
Alton 1
Always 4
Am 9
Amateur 1
Ambulance 1
Amendment 1
Amendments 3
America 126
American 651
Americanization 1
Americans 65
Amid 12
Among 46
Amos 1
Amoy 1
Amputation 9
Amuse 1
An 129
Ana 1
Analysis 2
Analyze 1
Anatole 141
Anatomical 3
Anatomy 4
And 925
Andover 1
Andreevich 6
Andrew 721
Andrews 1
Andros 2
Andrusha 1
Andwew 1
Aneurysm 17
Aneurysmal 1
Aneurysms 1
Angel 6
Anger 1
Anglican 6
Anglicans 1
Angry 1
Animated 1
Anisya 14
Anita 1
Ankle 1
Ankylosis 5
Ann 1
Anna 289
Annapolis 3
Anne 4
Annette 3
Annexation 4
Announce 1
Another 49
Ansicht 1
Anstruther 1
Anthony 2
Anthrax 3
Anticipating 2
Anticipation 1
Antietam 2
Antiseptic 1
Antitoxic 1
Antoinette 1
Anton 1
Antonovna 1
Anxious 2
Any 38
Anybody 1
Anyone 2
Aorta 3
Apache 1
Apart 16
Apocalypse 2
Apollon 1
Appalachian 3
Appalachians 3
Apparently 1
Appeal 2
Appeals 1
Appearances 3
Appendages 1
Application 1
Applied 1
Apply 1
Apprehensive 1
April 22
Apsheron 4
Apsherons 1
Arab 3
Arabchik 1
Arabian 1
Arakcheev 18
Arbat 6
Arbitration 2
Arborescent 2
Arbuthnot 2
Arc 1
Arch 1
Archbishop 1
Archduchy 1
Archduke 12
Archery 1
Architect 4
Architecture 1
Archive 35
Archives 1
Are 28
Areas 1
Arena 1
Argonne 1
Arid 2
Aristocratic 2
Aristovo 1
Arizona 6
Arkansas 4
Arm 3
Armada 1
Armed 3
Armenian 6
Armenians 1
Armfeldt 8
Armies 1
Armour 1
Arms 2
Army 7
Arnold 2
Arnsworth 1
Around 13
